2002-09-25,2005-08-29,bug1,archival/libarchive/filter_accept_reject_list.c
2002-09-25,2005-10-06,bug1,archival/libarchive/data_skip.c
2002-09-25,2005-11-18,bug1,archival/libarchive/get_header_tar_gz.c
2002-09-25,2006-02-13,vda.linux,archival/libarchive/data_extract_to_stdout.c
2002-09-25,2006-07-25,vda.linux,archival/libarchive/header_list.c
2002-09-25,2006-08-09,vda.linux,archival/libarchive/header_skip.c
2002-09-25,2006-09-08,bug1,archival/libarchive/init_handle.c
2002-09-25,2007-08-27,bug1,archival/libarchive/unpack_ar_archive.c
2002-10-01,2010-06-14,vda.linux,networking/telnetd.c
2002-10-15,2002-10-15,Russ.Dill,examples/udhcp/sample.nak
2002-10-15,2010-07-20,Russ.Dill,examples/udhcp/simple.script
2002-10-22,2009-11-07,vda.linux,miscutils/crond.c
2002-11-04,2005-07-13,bug1,archival/libarchive/data_align.c
2002-11-05,2005-03-08,bug1,archival/libarchive/filter_accept_list.c
2002-11-05,2005-06-27,bug1,archival/libarchive/filter_accept_all.c
2002-11-05,2005-12-03,bug1,archival/libarchive/get_header_tar_bz2.c
2002-11-05,2007-06-07,vda.linux,archival/libarchive/filter_accept_list_reassign.c
2002-11-09,2007-08-11,vda.linux,networking/ifupdown.c
2002-11-10,2004-01-17,bug1,networking/libiproute/ll_addr.c
2002-11-10,2004-10-17,bug1,networking/libiproute/ll_proto.c
2002-11-10,2005-03-04,bug1,networking/libiproute/ll_map.c
2002-11-10,2005-04-19,bug1,networking/libiproute/iptunnel.c
2002-11-10,2007-06-09,bug1,networking/libiproute/libnetlink.c
2002-11-10,2007-07-27,bug1,networking/libiproute/utils.c
2002-11-10,2007-07-29,bug1,networking/libiproute/rtm_map.c
2002-11-10,2007-10-10,bug1,networking/libiproute/ipaddress.c
2002-11-10,2008-03-29,vda.linux,networking/libiproute/rt_names.c
2002-11-10,2008-05-19,vda.linux,networking/libiproute/utils.h
2002-11-10,2008-05-23,vda.linux,networking/libiproute/iproute.c
2002-11-11,2008-01-15,bug1,coreutils/od.c
2002-11-11,2008-02-18,vda.linux,networking/ipcalc.c
2002-11-11,2011-09-18,vda.linux,editors/awk.c
2002-11-27,2006-07-14,vda.linux,util-linux/fdisk.c
2002-12-05,2005-12-23,andersen,console-tools/Config.src
2002-12-05,2005-12-23,andersen,debianutils/Config.src
2002-12-05,2005-12-23,andersen,init/Config.src
2002-12-05,2005-12-23,andersen,miscutils/Config.src
2002-12-05,2005-12-23,andersen,sysklogd/Config.src
2002-12-05,2006-12-23,vda.linux,editors/Config.src
2002-12-05,2010-05-20,vda.linux,Config.in
2002-12-05,2010-06-06,vda.linux,archival/Config.src
2002-12-13,2007-10-16,vda.linux,networking/ftpgetput.c
2003-01-09,2009-01-29,vda.linux,networking/arping.c
2003-01-14,2003-06-12,andersen,testsuite/strings/strings-works-like-GNU
2003-01-22,2008-07-04,vda.linux,libbb/login.c
2003-02-15,2011-09-06,vda.linux,coreutils/Config.src
2003-03-19,2003-06-17,andersen,libbb/default_error_retval.c
2003-03-19,2004-04-01,mjn3,libbb/parse_mode.c
2003-03-19,2004-07-22,mjn3,libbb/mode_string.c
2003-03-19,2006-01-26,vda.linux,coreutils/libcoreutils/coreutils.h
2003-03-19,2006-09-12,vda.linux,libbb/wfopen_input.c
2003-03-19,2006-09-17,mjn3,coreutils/wc.c
2003-03-19,2007-01-06,vda.linux,coreutils/rm.c
2003-03-19,2007-02-21,vda.linux,coreutils/mkfifo.c
2003-03-19,2007-11-02,vda.linux,coreutils/yes.c
2003-03-19,2007-12-03,vda.linux,coreutils/logname.c
2003-03-19,2008-01-11,vda.linux,coreutils/rmdir.c
2003-03-19,2008-04-25,vda.linux,coreutils/du.c
2003-03-19,2008-05-09,vda.linux,coreutils/tty.c
2003-03-19,2008-11-03,vda.linux,editors/cmp.c
2003-03-19,2008-12-05,vda.linux,coreutils/tee.c
2003-03-19,2008-12-18,vda.linux,coreutils/tail.c
2003-03-19,2009-02-04,vda.linux,coreutils/ln.c
2003-03-19,2011-04-12,vda.linux,coreutils/df.c
2003-03-19,2012-11-26,vda.linux,coreutils/sleep.c
2003-05-19,2003-05-19,kraai,testsuite/tar/tar-extracts-to-standard-output
2003-05-27,2004-12-13,bug1,libbb/concat_subpath_file.c
2003-07-05,2006-03-31,andersen,util-linux/fdformat.c
2003-07-15,2002-11-09,andersen,libbb/README
2003-07-15,2006-03-17,andersen,loginutils/Config.src
2003-07-22,2006-10-12,vda.linux,miscutils/hdparm.c
2003-08-09,2008-10-05,vda.linux,util-linux/last.c
2003-10-01,2008-03-07,vda.linux,editors/sed.c
2003-10-09,2003-10-16,bug1,examples/devfsd.conf
2003-10-09,2005-03-05,bug1,miscutils/devfsd.c
2003-10-09,2009-02-11,andersen,libbb/safe_write.c
2003-10-18,2008-03-20,andersen,archival/libarchive/decompress_bunzip2.c
2003-10-22,2007-05-16,andersen,console-tools/deallocvt.c
