DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordMinNonLetterPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordMinNumericPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordMinSymbolsPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordMinUpperCasePolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordQualityPolicy.java
2019-10-24	2019-10-24	Teclib	app/src/main/java/org/flyve/mdm/agent/policies/PoliciesAsyncTask.java
2018-05-18	2018-05-15	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PoliciesException.java
2019-03-25	2018-12-13	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PoliciesFiles.java
2019-09-05	2019-08-28	Kita	app/src/main/java/org/flyve/mdm/agent/policies/RemoveAppPolicy.java
2019-09-05	2019-08-28	Kita	app/src/main/java/org/flyve/mdm/agent/policies/RemoveFilePolicy.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/RoamingPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/ScreenCapturePolicy.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/SpeakerphonePolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StatusBarPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StorageEncryptionPolicy.java
2018-06-07	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StreamAccessibilityPolicy.java
2018-06-02	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StreamAlarmPolicy.java
2018-06-08	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StreamDTMFPolicy.java
2018-06-08	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StreamMusicPolicy.java
2018-06-08	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StreamNotificationPolicy.java
2018-06-08	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StreamRingPolicy.java
2018-06-08	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/StreamVoiceCallPolicy.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/UsbAdbPolicy.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/UsbMtpPolicy.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/UsbPtpPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/VPNPolicy.java
2018-06-10	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/WifiPolicy.java
2019-10-18	2019-10-18	Teclib	app/src/main/java/org/flyve/mdm/agent/receivers/AppReceiver.java
2018-03-05	2018-02-02	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/receivers/CustomPhoneStateListener.java
2017-08-27	2017-07-04	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/receivers/FlyveAdminReceiver.java
