DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2001-09-06	2003-04-19	Guido van Rossum	Lib/shelve.py
2001-09-07	2000-04-15	Greg Ward	Lib/distutils/errors.py
2001-10-02	2001-06-23	Martin v. Löwis	Modules/getaddrinfo.c
2001-10-15	1995-08-30	Guido van Rossum	Lib/uu.py
2001-10-18	2001-10-18	Guido van Rossum	Lib/__phello__.foo.py
2001-10-26	2000-06-06	Greg Ward	Lib/distutils/command/config.py
2001-11-16	2000-11-16	Guido van Rossum	Tools/demo/queens.py
2001-12-08	1993-07-28	Guido van Rossum	Include/frameobject.h
2001-12-11	2000-02-05	Greg Ward	Lib/distutils/command/build_clib.py
2001-12-11	2001-06-23	Martin v. Löwis	Modules/addrinfo.h
2001-12-20	1997-12-10	Guido van Rossum	PC/WinMain.c
2001-12-23	2000-08-15	David Scherer	Lib/idlelib/undo.py
2001-12-24	1992-09-07	Guido van Rossum	Lib/colorsys.py
2001-12-29	2001-09-26	Tim Peters	Lib/test/pydocfodder.py
2001-12-30	1999-12-20	Guido van Rossum	Python/dynload_aix.c
2002-01-07	2000-10-02	Greg Ward	Lib/distutils/command/install_lib.py
2002-01-15	1999-09-21	Greg Ward	Lib/distutils/command/build_py.py
2002-01-17	2000-06-24	Greg Ward	Lib/distutils/ccompiler.py
2002-01-19	1995-08-04	Guido van Rossum	Python/getcompiler.c
2002-01-19	2001-02-28	Jeremy Hylton	Lib/test/future_test2.py
2002-01-30	1993-12-14	Guido van Rossum	Tools/demo/markov.py
2002-02-03	2001-08-12	Tim Peters	Tools/scripts/cleanfuture.py
2002-02-21	2000-06-29	Fred Drake	Lib/xml/__init__.py
2002-02-28	2002-02-08	Barry Warsaw	Tools/scripts/fixnotice.py
2002-03-02	2000-09-01	Greg Ward	Lib/distutils/core.py
2002-03-03	1995-04-10	Guido van Rossum	Tools/demo/rpythond.py
2002-03-11	1997-12-24	Guido van Rossum	Lib/telnetlib.py
2002-03-11	2007-07-28	Guido van Rossum	Lib/quopri.py
2002-03-14	2008-05-17	Guido van Rossum	Lib/tkinter/filedialog.py
2002-03-16	2000-05-31	Greg Ward	Lib/distutils/extension.py
2002-04-08	2000-03-10	Guido van Rossum	Lib/encodings/ascii.py
2002-04-08	2000-03-10	Guido van Rossum	Lib/encodings/latin_1.py
2002-04-23	2001-02-22	Martin v. Löwis	Lib/xml/dom/domreg.py
2002-05-12	2001-09-24	Fred Drake	Lib/_markupbase.py
2002-05-18	2000-06-26	Andrew M. Kuchling	Lib/curses/ascii.py
2002-05-23	2001-03-26	Fred Drake	Modules/termios.c
2002-05-25	2001-08-17	Tim Peters	Lib/codeop.py
2002-06-04	2002-04-26	Guido van Rossum	Include/enumobject.h
2002-06-12	2006-12-13	Guido van Rossum	Python/structmember.c
2002-06-22	2001-09-01	Guido van Rossum	Tools/scripts/fixdiv.py
2002-06-30	2000-03-10	Guido van Rossum	Lib/encodings/charmap.py
2002-07-01	2000-03-10	Guido van Rossum	Lib/encodings/raw_unicode_escape.py
2002-07-01	2000-03-10	Guido van Rossum	Lib/encodings/unicode_escape.py
2002-07-09	2000-06-29	Guido van Rossum	Lib/filecmp.py
2002-07-15	1996-05-28	Guido van Rossum	PC/pyconfig.h
2002-07-17	1999-12-20	Guido van Rossum	Python/dynload_dl.c
2002-07-19	1999-08-13	Barry Warsaw	Tools/i18n/pygettext.py
2002-07-29	2002-07-29	Jack Jansen	Mac/PythonLauncher/English.lproj/Credits.rtf
2002-07-29	2002-07-29	Jack Jansen	Mac/PythonLauncher/English.lproj/MainMenu.nib/classes.nib
2002-07-29	2002-07-29	Jack Jansen	Mac/PythonLauncher/English.lproj/MainMenu.nib/info.nib
2002-07-31	2000-05-13	Greg Ward	Lib/distutils/command/bdist_rpm.py
2002-07-31	2002-07-31	Jack Jansen	Mac/PythonLauncher/doscript.h
2002-08-06	2001-09-02	Guido van Rossum	Tools/scripts/finddiv.py
2002-08-10	2002-07-29	Jack Jansen	Mac/PythonLauncher/MyDocument.h
2002-08-19	2002-07-29	Jack Jansen	Mac/PythonLauncher/MyAppDelegate.h
2002-08-22	2002-02-08	Fred Drake	Lib/this.py
2002-08-27	2001-03-21	Martin v. Löwis	Lib/tkinter/tix.py
2002-09-02	2002-07-29	Jack Jansen	Mac/PythonLauncher/English.lproj/MyDocument.nib/classes.nib
2002-09-02	2002-07-29	Jack Jansen	Mac/PythonLauncher/FileSettings.h
2002-09-04	1996-03-07	Guido van Rossum	Lib/cgi.py
2002-09-10	2002-07-29	Jack Jansen	Mac/PythonLauncher/PreferencesWindowController.h
2002-09-11	2002-09-11	Jeremy Hylton	Lib/distutils/debug.py
2002-09-16	2000-06-07	Marc-André Lemburg	Lib/encodings/undefined.py
2002-09-17	2007-02-09	Guido van Rossum	Tools/freeze/winmakemakefile.py
2002-09-23	2000-12-29	Tim Peters	Lib/bisect.py
2002-09-30	2000-08-15	David Scherer	Lib/idlelib/tree.py
2002-10-08	2000-03-31	Greg Ward	Lib/distutils/command/bdist.py
2002-10-14	2001-01-25	Jeremy Hylton	Include/cellobject.h
2002-10-16	1998-04-09	Guido van Rossum	Lib/imaplib.py
2002-10-23	2002-07-29	Jack Jansen	Mac/PythonLauncher/English.lproj/MyDocument.nib/info.nib
2002-10-24	2002-07-29	Jack Jansen	Mac/PythonLauncher/PreferencesWindowController.m
2002-11-01	2001-09-03	Tim Peters	Lib/test/test_descrtut.py
